unique_issn_list,era_journal_name,era_for_codes,harzing_journal_name,harzing_field,wos_journal_name,wos_abbreviation,wos_categories,scopus_journal_name,scopus_asjc
"[0040-5833, 1573-7187]",,,Theory and Decision,"OR,MS,POM",THEORY AND DECISION,THEOR DECIS,[ECONOMICS],Theory and Decision,[2000]
"[1755-4217, 1755-4225]",Worldwide Hospitality and Tourism Themes,[3508],,,,,,Worldwide Hospitality and Tourism Themes,[1400]
[2221-2264],,,,,Zhurnal Novaya Ekonomicheskaya Assotsiatsiya-Journal of the New Economic Association,ZH NOVAYA EKON ASSOT,[ECONOMICS],Zhournal Novoi Ekonomicheskoi Associacii /Journal of the New Economic Association,[2000]
[0160-7383],,,Annals of Tourism Research,Tourism,,,,Annals of Tourism Research,[1400]
"[1447-6770, 1839-5260]",Journal of Hospitality and Tourism Management,"[3504, 3508]",Journal of Hospitality and Tourism Management,Tourism,Journal of Hospitality and Tourism Management,J HOSP TOUR MANAG,[MANAGEMENT],Journal of Hospitality and Tourism Management,[1400]
"[0267-257X, 1472-1376]",Journal of Marketing Management,"[3504, 3506, 3507]",Journal of Marketing Management,Marketing,Journal of Marketing Management,J MARKET MANAG-UK,"[MANAGEMENT, BUSINESS]",Journal of Marketing Management,[1400]
"[1462-6004, 1758-7840]",Journal of Small Business and Enterprise Development,"[3505, 3506, 3507]",Journal of Small Business and Enterprise Development,Entrep,Journal of Small Business and Enterprise Development,J SMALL BUS ENTERP D,[BUSINESS],Journal of Small Business and Enterprise Development,[1400]
"[2381-6724, 2381-6732]",,,,,Annals of Corporate Governance,ANN CORP GOV,[MANAGEMENT],Annals of Corporate Governance,"[2000, 1400]"
"[0971-7927, 0019-5308]",,,,,Indian Journal of Labour Economics,INDIAN J LABOUR ECON,[ECONOMICS],Indian Journal of Labour Economics,[2000]
"[1932-1465, 1932-1473]",,,,,International Review of Environmental and Resource Economics,INT REV ENVIRON RESO,[ECONOMICS],International Review of Environmental and Resource Economics,"[2000, 1400]"
"[1758-9401, 1758-941X]",International Journal of Business Performance and Supply Chain Modelling,"[3507, 3509]",,,,,,International Journal of Business Performance and Supply Chain Modelling,[1400]
[2193-8997],IZA Journal of Labor Economics,"[3801, 3803]",,,,,,IZA Journal of Labor Economics,"[2000, 1400]"
"[0167-6687, 1873-5959]",,,Insurance: Mathematics and Economics,"MIS,KM",INSURANCE MATHEMATICS & ECONOMICS,INSUR MATH ECON,[ECONOMICS],Insurance: Mathematics and Economics,[2000]
"[1936-8623, 1936-8631]",Journal of Hospitality Marketing and Management,"[3504, 3506, 3508]",Journal of Hospitality Marketing and Management,Tourism,Journal of Hospitality Marketing & Management,J HOSP MARKET MANAG,"[MANAGEMENT, BUSINESS]",Journal of Hospitality Marketing and Management,[1400]
"[1099-0771, 0894-3257]",,,Journal of Behavioral Decision Making,Psychology,,,,Journal of Behavioral Decision Making,[1400]
"[1080-5699, 1552-4191, 8756-1972]",Business Communication Quarterly,[3507],,,,,,Business Communication Quarterly,"[2000, 1400]"
"[1753-3627, 1753-3635]",International Journal of Business and Globalisation,[3507],,,,,,International Journal of Business and Globalisation,[1400]
"[1464-6668, 2515-7841]",International Journal of Sports Marketing and Sponsorship,[3506],,,,,,International Journal of Sports Marketing and Sponsorship,"[2000, 1400]"
[0022-4065],,,Journal of Quality Technology,"MIS,KM",,,,Journal of Quality Technology,[1400]
"[0885-2545, 1573-6997]",Journal of Cultural Economics,[3801],,,Journal of Cultural Economics,J CULT ECON,[ECONOMICS],Journal of Cultural Economics,[2000]
"[1460-3799, 1743-4637]",Risk Management,"[3502, 3507]",,,,,,Risk Management,"[2000, 1400]"
"[1475-7702, 1758-7700]",Review of Accounting and Finance,"[3501, 3502]",,,Review of Accounting and Finance,REV ACCOUNT FINANC,"['BUSINESS, FINANCE']",Review of Accounting and Finance,"[2000, 1400]"
"[0025-1909, 1526-5501]",,,Management Science,"OR,MS,POM",MANAGEMENT SCIENCE,MANAGE SCI,[MANAGEMENT],Management Science,[1400]
"[1648-4460, 2538-872X]",Transformations in Business and Economics,"[35, 38]",,,Transformations in Business & Economics,TRANSFORM BUS ECON,"[ECONOMICS, BUSINESS]",Transformations in Business and Economics,"[2000, 1400]"
"[1540-1960, 1540-1979]",,,MIS Quarterly Executive,"MIS,KM",MIS Quarterly Executive,MIS Q EXEC,[MANAGEMENT],MIS Quarterly Executive,[2000]
"[0889-938X, 1573-7160]",Review of Industrial Organization,[3801],Review of Industrial Organization,Economics,REVIEW OF INDUSTRIAL ORGANIZATION,REV IND ORGAN,"[ECONOMICS, MANAGEMENT]",Review of Industrial Organization,"[2000, 1400]"
"[2029-4913, 2029-4921]",,,,,Technological and Economic Development of Economy,TECHNOL ECON DEV ECO,[ECONOMICS],Technological and Economic Development of Economy,[2000]
[0994-4524],,,,,,,,Actuel Marx,[2000]
"[2407-814X, 2527-9238]",,,,,,,,Agraris,[2000]
"[1405-2253, 2007-3496]",,,,,,,,America Latina en la Historia Economica,[2000]
"[2054-7544, 2054-7552]",,,,,,,,Applied Marketing Analytics,[1400]
"[0252-1865, 2223-1757]",,,,,,,,Apuntes,[2000]
[1226-8240],,,,,,,,Asian International Studies Review,[1400]
[1029-3574],,,,,,,,Asia-Pacific Journal of Accounting,"[2000, 1400]"
"[1815-8129, 1815-1027]",,,,,,,,Austrian Journal of Agricultural Economics and Rural Studies,[2000]
[0869-4931],,,,,,,,Avtomatizatsiya i Sovremennye Tekhnologii,[1400]
[2398-631X],,,,,,,,BMJ Leader,[1400]
[0741-6148],,,,,,,,Book Research Quarterly,[1400]
[0007-1684],,,,,,,,British Printer,[1400]
[2637-0395],,,,,,,,Built Environment Journal,[1400]
"[0266-3821, 1741-6450]",,,,,,,,Business Information Review,"[2000, 1400]"
"[1750-7219, 1750-7227]",,,,,,,,Capital Markets Law Journal,[2000]
[1671-8135],,,,,,,,China Biotechnology,"[2000, 1400]"
"[2096-9732, 2097-2326]",,,,,,,,China Journal of Econometrics,[2000]
"[1973-4832, 2283-3137]",,,,,,,,Clinical Management Issues,[1400]
"[1554-0189, 1554-6853]",,,,,,,,Competition Policy International,[2000]
[2769-6480],,,,,,,,Distributed Ledger Technologies,[1400]
"[0116-7111, 2243-786X]",,,,,,,,DLSU Business and Economics Review,"[2000, 1400]"
"[1126-1668, 1972-4802]",,,,,,,,Economia Agro-Alimentare,"[2000, 1400]"
"[2095-4816, 2470-4024]",,,,,,,,Economic and Political Studies,[2000]
"[1997-9967, 2663-550X]",,,,,,,,Economy: strategy and practice,"[2000, 1400]"
[1448-2398],,,,,,,,eJournal of Tax Research,"[2000, 1400]"
[2652-6433],,,,,,,,Energy Research Letters,[2000]
"[1087-8955, 1939-4667]",,,,,,,,Entrepreneurial Executive,"[2000, 1400]"
[1161-2770],,,,,,,,Entreprises et Histoire,"[2000, 1400]"
[0798-1015],,,,,,,,Espacios,[1400]
[1028-5954],,,,,,,,Euratex Bulletin,[1400]
"[1613-2548, 1613-2556]",,,,,,,,European Company and Financial Law Review,[2000]
[2254-7088],,,,,,,,European Journal of Government and Economics,[2000]
[1103-6966],,,,,,,,European Papermaker,[1400]
"[2415-9271, 2415-928X]",,,,,,,,Financial and Economic Review,"[2000, 1400]"
[2813-2823],,,,,,,,Frontiers in Environmental Economics,[2000]
[0890-5363],,,,,,,,Geothermal Science and Technology,[1400]
"[1932-2054, 1932-2062]",,,,,,,,Global Business and Organizational Excellence,[1400]
[2582-2667],,,,,,,,GNLU Journal of Law and Economics,[2000]
"[1465-4466, 1569-206X]",,,,,,,,Historical Materialism,[2000]
[1000-8616],,,,,,,,Huazhong Ligong Daxue Xuebao/Journal Huazhong (Central China) University of Science and Technology,[1400]
[2471-2825],,,,,,,,IEEE Communications Standards Magazine,[1400]
"[0360-8581, 1937-4178]",,,,,,,,IEEE Engineering Management Review,[1400]
"[0361-1434, 1558-1500]",,,,,,,,IEEE Transactions on Professional Communication,[1400]
"[1753-8254, 1753-8262]",,,,,,,,Indian Growth and Development Review,"[2000, 1400]"
"[1040-1628, 1533-7979]",,,,,,,,Information Resources Management Journal,[1400]
"[1548-0631, 1548-064X]",,,,,,,,International Journal of Business Data Communications and Networking,[1400]
"[1743-4955, 1743-4963]",,,,,,,,International Journal of Environment and Health,[1400]
"[1539-3062, 1539-3054]",,,,,,,,International Journal of IT Standards and Standardization Research,[1400]
"[1470-482X, 1470-4838]",,,,,,,,International Relations of the Asia-Pacific,[2000]
"[0165-2826, 1875-8347]",,,,,,,,Intertax,[1400]
"[1815-8633, 2308-6149]",,,,,,,,Jordan Journal of Business Administration,[1400]
"[2194-7740, 2194-7759]",,,,,,,,Journal Global Policy and Governance,[2000]
"[1098-0482, 2516-1873]",,,,,,,,Journal of Advertising Education,[1400]
"[1063-2921, 1930-7799]",,,,,,,,Journal of Arts Management Law and Society,[1400]
"[2509-7962, 2509-7970]",,,,,,,,Journal of Business Cycle Research,"[2000, 1400]"
"[1548-7717, 1548-7725]",,,,,,,,Journal of Cases on Information Technology,[1400]
"[2827-7775, 2809-9885]",,,,,,,,Journal of Central Banking Law and Institutions,[2000]
"[2643-9107, 2643-9115]",,,,,,,,Journal of Civil Engineering Education,[1400]
[2073-0438],,,,,,,,Journal of Corporate Finance Research,[2000]
"[1868-1026, 1868-4874]",,,,,,,,Journal of Current Chinese Affairs,[2000]
"[2328-8272, 2328-8280]",,,,,,,,Journal of Eastern European and Central Asian Research,"[2000, 1400]"
[2380-2138],,,,,,,,Journal of Forensic Accounting Research,[1400]
"[1435-5930, 1435-5949]",,,,,,,,Journal of Geographical Systems,[2000]
"[1553-5495, 2616-2733]",,,,,,,,Journal of Global Business and Technology,[1400]
"[1079-3739, 2168-5509]",,,,,,,,Journal of Health and Human Services Administration,[1400]
"[2154-7238, 2374-135X]",,,,,,,,Journal of Index Investing,"[2000, 1400]"
[2528-9705],,,,,,,,Journal Of Organizational Behavior Research,[1400]
"[2514-7641, 2514-765X]",,,,,,,,Journal of Participation and Employee Ownership,"[2000, 1400]"
"[1750-1806, 1750-1814]",,,,,,,,Journal of Payments Strategy and Systems,[1400]
"[1355-2511, 1758-7832]",,,,,,,,Journal of Quality in Maintenance Engineering,[1400]
[2664-7958],,,,,,,,Journal of Time Use Research,[2000]
"[2088-4443, 2580-0698]",,,,,,,,Jurnal Kajian Bali,[1400]
"[1752-1440, 1752-1459]",,,,,,,,Law and Financial Markets Review,[2000]
"[1250-7970, 2377-9640]",,,,,,,,Logistique et Management,[1400]
[2768-5241],,,,,,,,NJAS: Impact in Agricultural and Life Sciences,[1400]
[1468-1218],,,,,,,,Nonlinear Analysis: Real World Applications,[2000]
"[1551-2789, 1941-2886]",,,,,,,,North Korean Review,[2000]
"[2789-0058, 2789-0066]",,,,,,,,Pan-African Journal of Education and Social Sciences,[1400]
[1047-5567],,,,,,,,Printed Circuit Design,[1400]
[1330-187X],,,,,,,,Privredna Kretanja i Ekonomska Politika,"[2000, 1400]"
"[2769-6863, 2769-6898]",,,,,,,,Psychology of Leaders and Leadership,[1400]
"[2498-6275, 2786-0736]",,,,,,,,"Public Governance, Administration and Finances Law Review",[2000]
"[0091-0260, 1945-7421]",,,,,,,,Public Personnel Management,[1400]
"[1087-724X, 1552-7549]",,,,,,,,Public Works Management and Policy,[1400]
"[0921-3449, 1879-0658]",,,,,,,,"Resources, Conservation and Recycling",[2000]
"[2660-4647, 2660-4655]",,,,,,,,Revista del Ministerio de Trabajo y Economia Social,[2000]
[0719-4994],,,,,,,,Revista Iberoamericana de Viticultura Agroindustria y Ruralidad,[2000]
[1843-8520],,,,,,,,Romanian Journal of Regional Science,[2000]
[0163-7517],,,,,,,,Sales and Marketing Management,[1400]
"[2663-2144, 2709-8877]",,,,,,,,Scientific Horizons,[2000]
"[0955-1662, 1743-4645]",,,,,,,,Security Journal,[1400]
"[2078-1865, 1560-683X]",,,,,,,,South African Journal of Information Management,[1400]
"[0081-6485, 2353-7515]",,,,,,,,Studia Historiae Oeconomicae,[2000]
"[2321-0222, 2321-8398]",,,,,,,,Studies in Microeconomics,[2000]
[0041-1868],,,,,,,,Travail Humain,[1400]
[1698-5117],,,,,,,,Universia Business Review,"[2000, 1400]"
"[1064-5578, 1934-7715]",,,,,,,,Visitor Studies,[1400]
[1619-5515],,,,,,,,Zeitschrift fur Evaluation,[1400]
"[1613-8392, 1613-9267]",,,,,,,,Zeitschrift fur Planung und Unternehmenssteuerung,[1400]
"[2206-1347, 2206-1355]",Financial Planning Research Journal,[3502],,,,,,,
[1534-6668],"Journal of Applied Finance: theory, practice, education","[3501, 3502]",,,,,,,
"[2010-4804, 2251-2888]",The GSTF Business Review,[3801],,,,,,,
[1442-4444],Socio-analysis : the journal of the Australian Institute of Socio-Analysis,"[3505, 3507]",,,,,,,
"[1556-8318, 1556-8334]",,,,,International Journal of Sustainable Transportation,INT J SUSTAIN TRANSP,[TRANSPORTATION],,
[2162-3058],International Journal of Human Resource Studies,"[3505, 3507]",,,,,,,
"[1443-9905, 1443-9913]",Journal of Applied Management Accounting Research,[3501],,,,,,,
[0001-0782],,,Communications of the ACM,"MIS,KM",,,,,
[1925-4423],,,,,International Journal of Contemporary Economics and Administrative Sciences,INT J CONTEMP ECON A,[ECONOMICS],,
"[1226-9816, 2713-6213]",Seoul Journal of Business,[3507],,,,,,,
"[2156-1745, 2156-1753]",International Journal of Online Marketing,"[3506, 3507]",,,,,,,
"[2640-205X, 2640-2068]",American Economic Review: Insights,"[3801, 3802, 3803]",American Economic Review: Insights,Economics,American Economic Review-Insights,AM ECON REV INSIGHTS,[ECONOMICS],,
"[0889-3365, 1537-2642]",Macroeconomics Annual,"[3801, 3803]",,,NBER Macroeconomics Annual,NBER MACROECON ANNU,[ECONOMICS],,
"[2299-9701, 2543-5361]",,,,,International Journal of Management and Economics,INT J MANAG ECON,[ECONOMICS],,
[1598-2750],Korea and the World Economy,"[3801, 3899]",,,,,,,
[0300-3930],,,Local Government Studies,PSM,,,,,
"[1057-0314, 1745-1027]",Western Journal of Communication,[35],,,,,,,
[0966-0410],,,Health and Social Care in the Community,PSM,,,,,
[0022-1546],,,Journal of Higher Education,Education,,,,,
[2071-7873],Asian Forum on Business Education Journal,[3506],,,,,,,
[0951-5224],,,Higher Education Quarterly,PSM,,,,,
"[2199-9287, 2199-9295]",,,,,Transportation in Developing Economies,TRANSP DEV ECON,[TRANSPORTATION],,
"[1556-7249, 1556-7257]","Energy Sources Part B: Economics, Planning, and Policy","[3502, 3801, 3899]",,,,,,,
[1943-1813],International Journal of Organizational Innovation,[3507],,,,,,,
[0360-3989],,,Human Communication Research,Comm,,,,,
[0004-3567],Artha-Vikas: a journal of economic development,[3801],,,,,,,
"[2203-2290, 2203-5354]",Australian Journal of Actuarial Practice,[3502],,,,,,,
"[1860-6059, 1866-3621]",Enterprise Modelling and Information Systems Architectures,[3503],,,,,,,
"[0218-4958, 1793-6330]",Journal of Enterprising Culture,"[3505, 3507]",,,JOURNAL OF ENTERPRISING CULTURE,J ENTERPRISING CULT,[BUSINESS],,
"[1077-291X, 2375-0901]",,,,,Journal of Public Transportation,J PUBLIC TRANSPORT,[TRANSPORTATION],,
"[1369-8478, 1873-5517]",,,,,TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,TRANSPORT RES F-TRAF,[TRANSPORTATION],,
[1083-9798],Journal of Emerging Markets,"[35, 38]",,,,,,,
[0813-9474],Australian National Institute of Economic and Industry Research: National Economic Review,"[3801, 3802, 3803]",,,,,,,
"[0705-3436, 1705-0154]",Loisir et Societe,"[3504, 3508]",,,,,,,
"[2226-3624, 2311-4185]",International Journal of Academic Research in Economics and Management Sciences,"[3505, 3801, 3507]",,,,,,,
[0098-5589],,,IEEE Transactions on Software Engineering,"MIS,KM",,,,,
"[2277-9760, 2321-0281]",,,,,Agrarian South-Journal of Political Economy,AGRAR S,[ECONOMICS],,
"[1578-0732, 2174-7350]",,,,,Economia Agraria y Recursos Naturales,ECON AGRAR RECUR NAT,[ECONOMICS],,
[1010-7347],Journal of International Marketing and Marketing Research,[3506],,,,,,,
[0026-6760],Mita Gakkai Zasshi,"[3801, 3802, 3803]",,,,,,,
[0046-2772],,,European Journal of Social Psychology,Psychology,,,,,
"[1754-3266, 1754-3274]",,,,,International Journal of Fashion Design Technology and Education,INT J FASH DES TECHN,[BUSINESS],,
"[0217-4472, 1793-2831]",ASEAN Economic Bulletin,"[3801, 3802, 3803]",,,,,,,
"[1027-880X, 2234-4454]",Journal of Asian Regional Association for Home Economics,[3801],,,,,,,
"[1857-9094, 1857-9108]",Journal of Contemporary Economic and Business Issues,"[3503, 3507]",,,,,,,
[1981-0970],Dialogando no Turismo,[3508],,,,,,,
"[1477-3880, 2352-4421]",,,,,International Review of Economics Education,INT REV ECON EDUC,[ECONOMICS],,
[0304-4130],,,European Journal of Political Research,Sociology,,,,,
[2229-6891],International Research Journal of Applied Finance,[3502],,,,,,,
[1539-6924],,,Risk Analysis,Sociology,,,,,
[1071-5819],,,International Journal of Human Computer Studies,"OR,MS,POM",,,,,
"[1898-2255, 2392-1625]",,,,,Ekonomia i Prawo-Economics and Law,EKON PRAWO,[ECONOMICS],,
[2630-5488],,,,,Istanbul Business Research,ISTANB BUS RES,"['BUSINESS, FINANCE']",,
[1553-5347],Journal of Contemporary Business Issues,[3507],,,,,,,
[1908-8388],Asian Journal of Tourism and Hospitality Research,[3508],,,,,,,
"[1583-5812, 1844-8801]",Financial Audit,[3501],,,,,,,
"[0301-4215, 1873-6777]",,,Energy Policy,Economics,Energy Policy,ENERG POLICY,[ECONOMICS],,
[0022-1031],,,Journal of Experimental Social Psychology,Psychology,,,,,
"[2251-3612, 2251-3620]",Global Journal of Economics,"[3502, 3801]",,,,,,,
"[1944-5903, 2157-0809]",Business Education & Accreditation,[3507],,,,,,,
[0019-5286],Indian Journal of Industrial Relations,"[3505, 3801]",,,,,,,
[0972-6861],The IUP Journal of Applied Economics,"[3502, 3801]",,,,,,,
"[1538-9588, 1538-957X]",,,,,Traffic Injury Prevention,TRAFFIC INJ PREV,[TRANSPORTATION],,
"[1544-1458, 1939-6104]",Academy of Strategic Management Journal,[3507],,,,,,Academy of Strategic Management Journal,[1400]
"[0353-4316, 1848-6061]",Acta Turistica,[3508],,,,,,Acta Turistica,"[2000, 1400]"
"[1751-6447, 1751-6455]",Afro-Asian Journal of Finance and Accounting,"[3501, 3502]",,,,,,Afro-Asian Journal of Finance and Accounting,"[2000, 1400]"
"[0742-4477, 1520-6297]",Agribusiness: an international journal,[3801],,,Agribusiness,AGRIBUSINESS,[ECONOMICS],Agribusiness,[2000]
"[1174-5398, 2159-6816]",Annals of leisure research,"[3504, 3508]",,,,,,Annals of Leisure Research,[1400]
"[1466-4313, 1350-486X]",,,Applied Mathematical Finance,F&A,,,,Applied Mathematical Finance,[2000]
"[1038-4111, 1744-7941]",Asia Pacific Journal of Human Resources,"[3505, 3507]",Asia Pacific Journal of Human Resources,"OS/OB,HRM/IR",Asia Pacific Journal of Human Resources,ASIA PAC J HUM RESOU,[MANAGEMENT],Asia Pacific Journal of Human Resources,[1400]
"[1355-5855, 1758-4248]",Asia Pacific Journal of Marketing and Logistics,"[3506, 3507, 3508]",Asia Pacific Journal of Marketing and Logistics,Marketing,Asia Pacific Journal of Marketing and Logistics,ASIA PAC J MARKET LO,[BUSINESS],Asia Pacific Journal of Marketing and Logistics,[1400]
